日期,评论,评分
2017-07-23,网上购票，直接刷身份证进入，虽然方便，但也遗憾没有纸质门票做纪念。早上十点进入，按网上找到的图片，东中西三路，我们选择了东路兼去了中路。东路上午门城墙，然后从东华门下到地面。这条线人确实相对少些。下来后找地方坐下吃干粮。然后小朋友睡着于是兵分两路，一路带小朋友原地休息睡觉，另一路去中路逛到坤宁宫，在坤宁宫旁边的商店买了纪念品。如果想在北京买纪念品，强烈推荐买故宫的纪念品，其他景点的纪念品都很山寨并且毫无辨识度。故宫的纪念品虽然有清宫剧的很强的印记，不过相对来讲，性价比较高，也比较有故宫的特点。从坤宁宫返回东路，小朋友醒了，正好继续向前逛，主要看了九龙壁珍宝馆，最后从北门出故宫。稍有遗憾没有看到御花园。实在累得走不动。夏天去故宫最主要要带够水，人均两瓶确实是有必要的。还有买了携程的电子讲解，要不然真是看看热闹去的。,5
2017-06-24,"北京故宫是中国明清两代的皇家宫殿，旧称为紫禁城，位于北京中轴线的中心，是中国古代宫廷建筑之精华。北京故宫以三大殿为中心，占地面积72万平方米，建筑面积约15万平方米，有大小宫殿七十多座，房屋九千余间。是世界上现存规模最大、保存最为完整的木质结构古建筑之一。
北京故宫于明成祖永乐四年（1406年）开始建设，以南京故宫为蓝本营建，到永乐十八年（1420年）建成。它是一座长方形城池，南北长961米，东西宽753米，四面围有高10米的城墙，城外有宽52米的护城河。紫禁城内的建筑分为外朝和内廷两部分。外朝的中心为太和殿、中和殿、保和殿，统称三大殿，是国家举行大典礼的地方。内廷的中心是乾清宫、交泰殿、坤宁宫，统称后三宫，是皇帝和皇后居住的正宫。
北京故宫被誉为世界五大宫之首（北京故宫、法国凡尔赛宫、英国白金汉宫、美国白宫、俄罗斯克里姆林宫），是国家AAAAA级旅游景区，1961年被列为第一批全国重点文物保护单位，1987年被列为世界文化遗产。",5
2017-04-24,"故宫是明、清两代的皇宫，有小伙伴没去过，于是我第三次进了故宫，午门进，神武门出，整个故宫建筑分为“外朝”与“内廷”两大部分。
外朝也称为“前朝”，以太和殿、中和殿、保和殿三大殿为中心，是封建皇帝行使权力、举行盛典的地方。其中太和殿就是影视剧里常说的“金銮殿”，内廷以乾清宫、交泰殿、坤宁宫后三宫为中心，以及东西两侧的东六宫和西六宫，这次去故宫，印象最深的是故宫虽然每天限8万人，但是感觉人山人海，往前走基本是被人群推着走的，花了两百元请了个讲解员，头靠头才能听见她在讲什么，一直走到西六宫，人才稍微感觉少了点，拍的照全部都是大合影，故宫北门处开了很多精品店，陶瓷，木器，服装都有，故宫里面也有很多卖水卖小吃的，亮点是故宫里增加了好多供游客休息的椅子，随时觉得累都可以休息。",4
2017-08-11,"紫禁城宫殿于明永乐十八年(1420年)建成，位于北京城中心，南名午门，北称神武门，左右为东、西华门。前半部以太和、中和、保和三大殿为中心，东西辅以文华、武英二殿，统称为“外朝”。后半部，以乾清宫、交泰殿、坤宁宫为中心，左、右为东、西六宫，后为御花园，在此以外，东有皇极殿、宁寿宫、养性殿、乐寿堂等建筑。西有慈宁宫、寿康宫、寿安宫等建筑，乾清门外东有九卿房；西有军机处。养心殿为皇帝日常办公地。与之相对称的地方为奉先殿，整个紫禁城宫殿建筑，是中国历代宫殿建筑的继承与发展，是中国现今保存最完整、规模最宏伟的古代宫殿建筑群。

故宫的整个建筑金碧辉煌，庄严绚丽，是世界上最大的木质结构宫殿。 建于明代，用于明清两代，更感叹满人对汉族文化的尊重和传统。 里面的珍宝收藏很多。 中华民族文化的结晶。现代旅游开发造成故宫几乎每天是人山人海，但是来到北京还是必去之地！",5
2017-07-15,早上五点半起床的，然后坐公交，地铁，到天安门广场转了好久，各种拍照的。到达故宫大约九点，然后有扫二维码在网上买票进故宫的，也有窗口售票的。进故宫的票是一人二十，里面有珍宝馆和钟表馆两个馆是需要另外买票的，一个馆的费用是成人10元，学生5元，我和弟弟只买了珍宝馆的票，我们都是学生，然后一人总共加起来的门票是25元，两人50。反正里面文物很是精美，逛了好长时间。当时没买钟表馆的票现在挺后悔的，建议都去看看，门票也不贵，看了涨涨见识啊，要是想看的细的话建议花个三四个小时逛逛，里面很大，可以去早一点慢慢欣赏的，毕竟到了中午就热了。最后祝游玩开心啊,5
2017-07-07,去北京，故宫必须要去。从天安门侧门就可以进，在端门和午门之间有售票处，没有网络售票，有20多个售票口，一定要带身份证和现金，一定要带！支付宝微信通通不行，刷卡倒是有专门的窗口，但是少，排队人很多，我排了半个多小时。尤其是带孩子的，要有证明，户口本复印件带着，买票时，孩子最好也跟着，有些严格的，还要看到孩子本人。因为手机上有，所以就没有租赁讲解器，有需要最好租一个，过了检票口有亭子可以租。我妈说午门不要拍照，这里多是被斩首的地方，所以最好不要照相（年纪大的会比较忌讳）。往里走很大，按照指示牌逛，坐的地方很多，所以不用担心。也有礼品店，礼物超级可爱，也不是很贵。大殿什么的都不给进，可以隔着栏杆拍照。要是晴天，太阳很晒，建议做好防晒。御花园值得一逛，很漂亮。,5
2017-07-02,故宫传承了中国悠久的历史文化~定期会来这里走走看看，感受那种肃穆的感觉！这里凝结了人类文明的智慧以及厚重的积淀。虽然无法穿越回那个时代，但是走在这里，也同样感觉的到历史的点点滴滴。故宫一直在不断的维护修复，感谢付出辛苦的工程师和画师，让这座宫殿，一直以最好的状态呈现在大家的面前，棒棒的！看到大家在烈日下，在房顶上进行修复工作，真的很感动。完美的故宫背后，就是因为有你们的辛苦付出，我们才能一直一直将这段历史，这段文化积淀留存下来，能够让更多的人看到，感受到，非常棒！,5
2017-04-30,故宫，每年至少都会去一次。珍宝馆和钟表馆汇集了一些有年代感的精品，值得花钱去看看。一间间房子看起来没什么特别的，但如果能与历史人物和故事联系起来的时候就会感到很美妙。傍晚的故宫是迷人的，随着游客陆陆续续地离开，余晖下的一座座殿宇便展现出了其独特的魅力−−静谧、威严、大气！你会觉得世界上没有哪一座宫殿能与她相媲美……,5
2017-04-24,故宫是北京必去的景点，没有之一！可以配合景山和天坛地坛一起游览。故宫建议一大早就去，这样可以避免遇到很多人，游览环境和效果会特别好，你拍的照片也能没有游人，棒棒哒！全程游览下来大概2个小时，能请导游就请导游，因为里面的故事太多了，用自助导游机也行，但是如果只是看看，那就太可惜了，会错过很多典故和故事！历史遗迹，值得多次参观！,5
2019-02-20,从今年开始，故宫博物院在正月十五、十六连续两天举办上元之夜灯会，这是故宫博物院建院94年来首次在夜间开放。公众可以免费预约参观，无奈数量有限，据说只有3千张，一票难求。进不去的可在故宫北门墙外观赏部分建筑的灯光，根据昨晚上环绕紫禁城观察，能够观赏到的只有神武门和东北角楼灯光。午门的灯光因隔着天安门无法看到；东南角楼的灯光要进入劳动人民文化宫才能看到，但灯会当晚文化宫是关闭的；要注意东华门以及大家常去的西北角楼是不亮灯的。在元宵节前一天晩上，可在与故宫隔街相望的景山上观看故宫灯会的灯光彩排，但灯会当晚上，景山公园为安全会封山。在灯会当晚，可从故宫宫墙外沿神武门走到东北角楼，一路上观赏神武门和角楼亮灯。故宫亮灯是很难得的，虽然进不去在外面观赏体验也是很奇妙的，想去观看的今天晩上还有一次机会，错过就只能等待明年了。,5
